threshold,tp,fp,tn,fn,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,accuracy,predicted_positive_rate
0.23635376355996907,13744,30409,24652,2698,0.31128122664371616,0.8359080403843815,0.4536347883488736,0.44772161784202974,0.5522783821579702,0.16409195961561854,0.5369844621903976,0.6174985664937136
0.2370279219000178,13727,30247,24814,2715,0.31216173193250557,0.8348741029071889,0.4544160487288135,0.45066380922976335,0.5493361907702367,0.16512589709281109,0.5390123491322042,0.6149951750276212
0.23750000000000002,13712,30110,24951,2730,0.3129021952443978,0.8339618051331955,0.45506438337979555,0.45315195873667385,0.5468480412633261,0.16603819486680452,0.5407185712487588,0.6128693900955204
0.23761922547645462,13709,30086,24975,2733,0.31302660121018383,0.8337793455783968,0.45516875010375685,0.453587838942264,0.5464121610577359,0.16622065442160322,0.5410122652196412,0.6124917835615289
0.2381754580964794,13692,29927,25134,2750,0.3138999060042642,0.8327454081012042,0.4559364645943291,0.45647554530429885,0.5435244546957011,0.16725459189879577,0.5429981958798932,0.6100303483769912
0.23872312512438587,13673,29765,25296,2769,0.31477047746212994,0.8315898309208125,0.4566800267201069,0.45941773669203245,0.5405822633079675,0.16841016907918746,0.5449981119673301,0.6074989860565291
0.23927855873836165,13659,29600,25461,2783,0.3157493238401258,0.8307383529984187,0.45758027503726917,0.4624144131054648,0.5375855868945352,0.1692616470015813,0.547109911472246,0.6049955945904367
0.23990051555594838,13639,29441,25620,2803,0.3165970287836583,0.8295219559664274,0.45828433184368805,0.46530211946749966,0.5346978805325003,0.17047804403357256,0.5490538858509433,0.6024922031243445
0.24,13634,29415,25646,2808,0.3167088666403401,0.8292178567084296,0.4583550453009699,0.4657743230235557,0.5342256769764443,0.17078214329157038,0.5493475798218257,0.6020586548816134
0.24051178269260945,13617,29285,25776,2825,0.3173977903128059,0.8281839192312371,0.4589174979778916,0.46813534080383573,0.5318646591961642,0.17181608076876292,0.5509279330937163,0.600002797085437
0.241148357148131,13595,29128,25933,2847,0.3182126723310629,0.8268458824960467,0.45956224118989264,0.47098672381540474,0.5290132761845953,0.1731541175039533,0.5528159657636742,0.5974994056193447
0.24188964930550413,13570,28974,26087,2872,0.31896389620157956,0.8253253862060577,0.4601091784491236,0.4737836218012749,0.526216378198725,0.17467461379394233,0.5546200858705229,0.5949960141532523
0.24247120918090403,13541,28824,26237,2901,0.31962705063141744,0.8235616105096704,0.4605234070773888,0.47650787308621345,0.5234921269137865,0.17643838949032964,0.5563123225598926,0.59249262268716
0.2425,13540,28817,26244,2902,0.3196638099959865,0.8235007906580708,0.4605520502049355,0.47663500481284393,0.5233649951871561,0.1764992093419292,0.5563962351230018,0.592380739269681
0.24310589847669953,13525,28662,26399,2917,0.3205963922535378,0.8225884928840773,0.46137576967029964,0.47945006447394706,0.5205499355260529,0.17741150711592263,0.558354194928884,0.5900032166482525
0.24371269597043244,13502,28506,26555,2940,0.3214149685774138,0.8211896362972875,0.4620017108639863,0.4822832858102831,0.5177167141897169,0.17881036370271255,0.5602142567444722,0.5874998251821602
0.24428976209363068,13483,28346,26715,2959,0.3223361782495398,0.8200340591168958,0.46276878721834197,0.4851891538475509,0.5148108461524491,0.17996594088310425,0.5621862019775394,0.5849964337160679
0.24487110498556977,13469,28181,26880,2973,0.32338535414165664,0.8191825811945019,0.4637127315292983,0.4881858302609833,0.5118141697390167,0.18081741880549812,0.5642980014824552,0.5824930422499756
0.245,13465,28157,26904,2977,0.32350679928883763,0.8189393017881036,0.4637985670983743,0.48862171046657343,0.5113782895334266,0.18106069821189635,0.5645777100261528,0.5821014502887991
0.24550738116610604,13447,28025,27036,2995,0.324242862654321,0.8178445444593115,0.4643782159754118,0.49101905159731934,0.5089809484026807,0.1821554555406885,0.5661720487252283,0.5800036362110681
0.24613944826932305,13423,27870,27191,3019,0.32506720267357664,0.816384868020922,0.4649865765999827,0.49383411125842247,0.5061658887415775,0.18361513197907797,0.5680041396864467,0.5775002447449757
0.24671526256486273,13403,27711,27350,3039,0.32599601109111254,0.8151684709889307,0.46573771631107097,0.4967218176204573,0.5032781823795427,0.18483152901106922,0.5699481140651441,0.5749968532788834
0.24724624319371827,13384,27551,27510,3058,0.32695737144253084,0.8140128938085391,0.4665283998814856,0.4996276856577251,0.5003723143422749,0.1859871061914609,0.5719200592982112,0.572493461812791
0.2475,13378,27477,27584,3064,0.3274507404234488,0.8136479746989418,0.4669703474876521,0.5009716496249614,0.4990283503750386,0.18635202530105827,0.5728710683467827,0.5713746276380012
